作品编号,本机首次记录日期,人物,来源ID,本机状态,在线补录状态,发布状态,本机证据,待确认字段
LT007,2026-09-14,Ed Zitron,Lf5oqGOCRCM,8页成品,已补录,待确认,production/daily-2026-09-14/ai-bubble/output-script-subtitles-v5,发布日期|作品链接|数据|英文逐句摘录
LT008,2026-09-13,Jay Shetty,rNmOfqWGkjs,8页成品,已补录,待确认,production/daily-2026-09-13/fear-effort/output-script-subtitles-v9,发布日期|作品链接|数据|英文逐句摘录
LT011,2026-09-12,Sarah Jakes Roberts,M98E87vhM_c,封面加8页成品,已补录,待确认,production/women-growth/output-official-stills-v6,发布日期|作品链接|数据
LT012,2026-09-12,Dr. Jim Doty,s-wONyk3RV0,封面加8页成品,已补录,待确认,production/manifestation/output-official-stills-v4,发布日期|作品链接|数据
LT013,2026-09-12,Dr. Alison Wood Brooks,KmRPqrM9SWM,封面加8页成品,已补录,待确认,production/career-growth/output-official-stills-v4,发布日期|作品链接|数据
LT014,2026-09-12,Chelsea Handler,mLjwVKRzMdo,8页脚本和封面,已补录,待确认,production/batch-2026-09-13/women-chelsea-handler,真实人物帧|内容图|发布日期|作品链接|数据
LT015,2026-09-12,Dr. Cassandra Vieten,2WhnTeC0Ql0,8页脚本和封面,已补录,待确认,production/batch-2026-09-13/manifestation-cassandra-vieten,真实人物帧|内容图|发布日期|作品链接|数据
LT016,2026-09-12,Kwame Christian,MV8xSekK-KE,8页脚本和封面,已补录,待确认,production/batch-2026-09-13/career-kwame-christian,真实人物帧|内容图|发布日期|作品链接|数据
LT017,2026-09-13,Dr. Alok Kanojia,XEb89CQJPO4,8页成品,已补录,待确认,production/daily-2026-09-13/escape-growth/output-script-subtitles-v9,发布日期|作品链接|数据|英文逐句摘录
LT018,2026-09-13,Iman Gadzhi,wtDDjBOfTZo,8页成品,已补录,待确认,production/daily-2026-09-13/ai-execution/output-script-subtitles-v9,发布日期|作品链接|数据|英文逐句摘录
LT019,2026-09-14,Justin Sung,nIABz0Z4IRA,8页成品,已补录,待确认,production/daily-2026-09-14/learning-confusion/output-script-subtitles-v5,发布日期|作品链接|数据|英文逐句摘录
LT020,2026-09-14,Ali Abdaal,MBPHU7aaklM,8页成品,已补录,待确认,production/daily-2026-09-14/systems-success/output-script-subtitles-v5,发布日期|作品链接|数据|英文逐句摘录
