编号,状态,首次记录日期,主题,核心观点,人物,来源ID,拟用标题,关键词,设备,备注
LT001,已制作,2026-09-10,女性力量,不要因为职位和头衔先在心里把自己放低,Carla Harris,NQtBfbQt_bM,"别把位置，当成对方比你强的证据","女性成长|判断权|职场",本设备,发布状态待确认
LT002,已制作,2026-09-10,AI与工作,答案变便宜后判断品味和定义问题的能力更重要,Satya Nadella,BKx0Dp8y-6g,"当答案越来越便宜，判断力会越来越贵","AI认知|未来工作|判断力",本设备,发布状态待确认
LT003,已制作,2026-09-11,成功与幸福,成功不是终点而是路标且会伴随新的压力,Laura Gassner Otting,be_DhgIVqoI,"为什么越成功，反而越焦虑？","成功|幸福|成长|焦虑",本设备,8页成品
LT004,已制作,2026-09-11,女性勇敢,完美主义会让女性减少尝试和申请机会,Reshma Saujani,fC9da6eqaqg,"困住很多女性的，不是能力，而是必须完美","女性成长|勇敢|完美主义",本设备,8页成品
LT005,已放弃,2026-09-11,励志人生,人生和成绩来自长期一步步积累,刘翔,BV1La411w7TJ,"你想活成怎样的人生","励志|运动员|长期主义",本设备,画质与表达未达发布要求
LT006,已放弃,2026-09-11,阶段成长,不为年龄设限并过好每个阶段,马伊琍,待补录,"过好每个阶段的自己","女性成长|年龄|人生阶段",本设备,画质与表达未达发布要求
LT007,已制作,2026-09-13,AI认知,AI热潮中的宏大叙事先于真实能力且成本回报需要核算,Ed Zitron,Lf5oqGOCRCM,"AI最贵的，是魔法叙事","AI认知|AI泡沫|成本|真实能力",另一设备,8页成品；脚本字幕；发布状态待确认；英文逐句摘录待补录
LT008,已制作,2026-09-13,行动与自我期待,所谓懒惰有时来自过高期待与启动阻力而非能力不足,Jay Shetty,rNmOfqWGkjs,"懒，不一定是问题","行动|懒惰|期待|微小习惯",另一设备,8页成品；脚本字幕；发布状态待确认；英文逐句摘录待补录
LT009,暂缓,2026-09-14,科学学习与注意力,手机即使没有使用也会占用注意力而频繁切换会持续消耗认知资源,Sahar Yousef,4Vz6L8B73i4,"手机不用响，也能偷走你的注意力","科学学习|注意力|手机|多任务",本设备,用户已确认权限；公开文字稿已复核；8页来源锁定中文凝练脚本已定稿；2026-09-15因用户改发名人亲历故事而暂缓
LT010,暂缓,2026-09-14,理性显化,显化不是等待结果而是识别目标背后的感受并让身份与行动逐渐一致,Emily McDonald,cUbe6HbFncE,"你想要的，从来不是那个结果","显化|身份认同|感受|行动",本设备,用户已确认权限；公开文字稿已复核；8页来源锁定中文凝练脚本已定稿；2026-09-15因用户改发名人亲历故事而暂缓
