来源ID,人物,视频标题,频道,URL,语言,字幕依据,处理权限,备注
NQtBfbQt_bM,Carla Harris,"How to Get Ahead When Everything Feels Uncertain: The New Rules of Work, Confidence, and Success",Mel Robbins,https://www.youtube.com/watch?v=NQtBfbQt_bM,英语,英文字幕轨后期中文翻译,用户已确认,与Mel Robbins对谈
BKx0Dp8y-6g,Satya Nadella,"Satya Nadella: AI Is the Future of the Firm",Reid Hoffman,https://www.youtube.com/watch?v=BKx0Dp8y-6g,英语,英文字幕轨后期中文翻译,用户已确认,AI与未来工作
be_DhgIVqoI,Laura Gassner Otting,"Why doesn't success bring happiness?",TEDx Talks,https://www.youtube.com/watch?v=be_DhgIVqoI,英语,英文人工字幕复核后期中文,用户已确认,成功与幸福
fC9da6eqaqg,Reshma Saujani,"Teach girls bravery, not perfection",TED,https://www.youtube.com/watch?v=fC9da6eqaqg,英语,中英文人工字幕交叉复核,用户已确认,女性勇敢与完美主义
BV1La411w7TJ,刘翔,待补录,待补录,待补录,中文,画面原生字幕,用户已确认,未采用
4Vz6L8B73i4,Sahar Yousef,"Neuroscientist's Guide To 10X Your Focus & Memory | Dr Sahar Yousef | FO559 Raj Shamani",Raj Shamani,https://www.youtube.com/watch?v=4Vz6L8B73i4,英语,公开英文文字稿复核后期中文转译,用户已确认,手机与注意力；脚本字幕模式
cUbe6HbFncE,Emily McDonald,"#1 Brain Neuroscientist: This Will DELETE Your Old Self! - How To Manifest Anything You Want",Jay Shetty Podcast,https://www.youtube.com/watch?v=cUbe6HbFncE,英语,公开英文文字稿复核后期中文转译,用户已确认,理性显化三步法；脚本字幕模式
Lf5oqGOCRCM,Ed Zitron,"The Man Who Calls BS On AI: They’re LYING About AI, 2027 Is When It All Breaks! | Ed Zitron",The Diary Of A CEO,https://www.youtube.com/watch?v=Lf5oqGOCRCM,英语,公开章节与完整文字稿复核后期中文转译,用户已确认,AI成本与泡沫争议；脚本字幕模式；英文逐句摘录待补录
rNmOfqWGkjs,Jay Shetty,"If you’re ambitious but lazy, please watch this…",Jay Shetty Podcast,https://www.youtube.com/watch?v=rNmOfqWGkjs,英语,公开字幕与章节复核后期中文转译,用户已确认,懒惰与启动阻力；脚本字幕模式；英文逐句摘录待补录
M98E87vhM_c,Sarah Jakes Roberts,"How to Create a New Version of Yourself: Let Go of Past Mistakes & Regret with Sarah Jakes Roberts",Mel Robbins,https://www.youtube.com/watch?v=M98E87vhM_c,英语,官方英文逐字稿复核后期中文转译,用户已确认,自我接纳与女性成长；脚本字幕模式
s-wONyk3RV0,Dr. Jim Doty,"The Neuroscience of Manifestation: How to Make Your Goals a Reality",Mel Robbins,https://www.youtube.com/watch?v=s-wONyk3RV0,英语,官方英文逐字稿复核后期中文转译,用户已确认,显化与神经科学；脚本字幕模式
KmRPqrM9SWM,Dr. Alison Wood Brooks,"The Most Important Career Advice You’ll Ever Hear With Harvard Business School’s #1 Professor",Mel Robbins,https://www.youtube.com/watch?v=KmRPqrM9SWM,英语,官方英文逐字稿复核后期中文转译,用户已确认,职场沟通与价值表达；脚本字幕模式
mLjwVKRzMdo,Chelsea Handler,"How to Become the Person You've Always Wanted to Be",Mel Robbins,https://www.youtube.com/watch?v=mLjwVKRzMdo,英语,官方英文逐字稿复核后期中文转译,用户已确认,女性野心与自信；脚本已完成待取帧
2WhnTeC0Ql0,Dr. Cassandra Vieten,"World Leading Psychologist: How to Manifest Anything & Create the Life You Want",Mel Robbins,https://www.youtube.com/watch?v=2WhnTeC0Ql0,英语,官方英文逐字稿复核后期中文转译,用户已确认,想象力与理性显化；脚本已完成待取帧
MV8xSekK-KE,Kwame Christian,"How to Get What You Want Every Time: 3 Steps to Negotiate Anything With Anyone",Mel Robbins,https://www.youtube.com/watch?v=MV8xSekK-KE,英语,官方英文逐字稿复核后期中文转译,用户已确认,艰难对话与谈判；脚本已完成待取帧
XEb89CQJPO4,Dr. Alok Kanojia,"Why You Should Stop Watching YouTube (Yes, Even This Video)",HealthyGamerGG,https://www.youtube.com/watch?v=XEb89CQJPO4,英语,公开字幕与文字稿复核后期中文转译,用户已确认,成长内容与行动逃避；脚本字幕模式
wtDDjBOfTZo,Iman Gadzhi,"Give Me 26 minutes, I'll Give You 10,000 hours of Claude Knowledge",Iman Gadzhi,https://www.youtube.com/watch?v=wtDDjBOfTZo,英语,公开字幕与章节复核后期中文转译,用户已确认,AI执行与判断力；脚本字幕模式
nIABz0Z4IRA,Justin Sung,"How to Learn So Fast People Assume You're Naturally Gifted",Justin Sung,https://www.youtube.com/watch?v=nIABz0Z4IRA,英语,公开视频字幕与逐分钟内容摘要复核后期中文转译,用户已确认,困惑与科学学习；脚本字幕模式
MBPHU7aaklM,Ali Abdaal,"Success Is Hard Until You Build Systems Like This",Ali Abdaal,https://www.youtube.com/watch?v=MBPHU7aaklM,英语,公开视频字幕与完整文字稿复核后期中文转译,用户已确认,目标与系统；脚本字幕模式
2caQ4j9oohE,Emma Watson,"EMMA WATSON EXCLUSIVE: The TRUTH I Have Never Shared Before..",Jay Shetty Podcast,https://www.youtube.com/watch?v=2caQ4j9oohE,英语,公开视频字幕与完整公开文字稿复核后期中文转译,未确认,用户否决人物；不采用
QMzxNfX-uAg,Matthew McConaughey,"Matthew McConaughey: The Silent Crisis No One Is Talking About! I Sabotaged My Own Career!",The Diary Of A CEO,https://www.youtube.com/watch?v=QMzxNfX-uAg,英语,公开视频字幕与带时间点完整公开文字稿复核后期中文转译,未确认,用户认为目标受众辨识度不足；不采用
4cuHmio86uw,Michelle Yeoh,"Michelle Yeoh on Asian parents, working with Jackie Chan and racism today",How To Fail with Elizabeth Day,https://www.youtube.com/watch?v=4cuHmio86uw,英语,公开视频字幕与带时间点完整公开文字稿复核后期中文转译,用户已确认,特技事故后重新确认热爱；脚本字幕模式8页成品已完成
wy04CeNcy44,Cristiano Ronaldo,"Cristiano Ronaldo x Piers Morgan Part 2 | On Trump, Jota, World Cup & More",Piers Morgan Uncensored,https://www.youtube.com/watch?v=wy04CeNcy44,英语,公开视频字幕与带时间点完整公开文字稿复核后期中文转译,未确认,用户认为人物争议较大且容易把账号标签带向体育频道；不采用
y6NfxiemvHg,Jensen Huang,"NVIDIA CEO Jensen Huang",Acquired,https://www.youtube.com/watch?v=y6NfxiemvHg,英语,公开视频字幕与带时间点完整公开文字稿复核后期中文转译,用户已确认,如果重回三十岁不会再创办英伟达；核心段落约01:20:06至01:23:02；脚本字幕模式8页成品已完成
