作品编号,状态,平台,发布日期,发布时间,发布标题,作品链接,点赞,收藏,评论,备注
LT001,待确认,抖音,待补录,待补录,"别把位置，当成对方比你强的证据",待补录,,,,
LT002,待确认,抖音,待补录,待补录,"当答案越来越便宜，判断力会越来越贵",待补录,,,,
LT003,待确认,抖音,待补录,待补录,"为什么越成功，反而越焦虑？",待补录,,,,
LT004,待确认,抖音,待补录,待补录,"困住很多女性的，不是能力，而是必须完美",待补录,,,,
LT007,待确认,抖音,待补录,19:30,"AI最贵的，是魔法叙事",待补录,,,,另一设备已有8页成品；是否发布待用户确认
LT008,待确认,抖音,待补录,19:30,"懒，不一定是问题",待补录,,,,另一设备已有8页成品；是否发布待用户确认
LT011,待确认,抖音,待补录,08:05,"停止惩罚过去的自己，你才能长成新的自己",待补录,,,,另一设备已有封面和8页成品；是否发布待用户确认
LT012,待确认,抖音,待补录,21:10,"真正的显化，不是许愿，而是训练大脑看见机会",待补录,,,,另一设备已有封面和8页成品；是否发布待用户确认
LT013,待确认,抖音,待补录,12:20,"职场里最容易被忽略的真相：价值不会自动被看见",待补录,,,,另一设备已有封面和8页成品；是否发布待用户确认
LT014,待确认,抖音,待补录,09:10,"女人最该戒掉的习惯：为自己的野心道歉",待补录,,,,脚本与封面已完成但内容图待取帧；是否发布待用户确认
LT015,待确认,抖音,待补录,20:50,"显化不是空想，而是改写你反复相信的故事",待补录,,,,脚本与封面已完成但内容图待取帧；是否发布待用户确认
LT016,待确认,抖音,待补录,14:20,"越难开口的话，越决定你的职场上限",待补录,,,,脚本与封面已完成但内容图待取帧；是否发布待用户确认
LT017,待确认,抖音,待补录,12:20,"你不是成长，你是在逃避",待补录,,,,另一设备已有8页成品；是否发布待用户确认
LT018,待确认,抖音,待补录,21:10,"未来最廉价的，是执行力",待补录,,,,另一设备已有8页成品；是否发布待用户确认
LT019,待确认,抖音,待补录,12:20,"听懂之后，学习才真正开始",待补录,,,,另一设备已有8页成品；是否发布待用户确认
LT020,待确认,抖音,待补录,21:10,"比自律更可靠的，是系统",待补录,,,,另一设备已有8页成品；是否发布待用户确认
LT023,待确认,抖音,2026-09-15,12:20,"杨紫琼：让我差点退圈的，不是最危险的那场戏",待补录,,,,8页成品与发布文案已完成；计划今日发布，实际发布状态待用户确认
LT025,待确认,抖音,2026-09-15,20:50,"如果重来一次，黄仁勋不会再创办英伟达",待补录,,,,8页成品与发布文案已完成；计划今日发布，实际发布状态待用户确认
LT026,待确认,抖音,2026-09-21,12:20,"泰勒·斯威夫特：那些没被选中的时刻，后来都在帮我",待补录,,,,封面与8页成品、逐句来源和发布文案已完成；实际发布状态待用户确认
LT027,待确认,抖音,2026-09-21,20:50,"奥普拉：站在事业巅峰后，我经历了最公开的一次失败",待补录,,,,封面与8页成品、逐句来源和发布文案已完成；实际发布状态待用户确认
